period,t_start,t_end,true_incidence,reported_incidence,eta,rep
1,0.0,7.0,835,835.0,2.5,1
2,7.0,14.0,160,160.0,2.5,1
3,14.0,21.0,1,1.0,2.5,1
4,21.0,28.0,1,1.0,2.5,1
5,28.0,35.0,0,0.0,2.5,1
6,35.0,42.0,0,0.0,2.5,1
7,42.0,49.0,0,0.0,2.5,1
8,49.0,56.0,0,0.0,2.5,1
9,56.0,63.0,0,0.0,2.5,1
10,63.0,70.0,0,0.0,2.5,1
11,70.0,77.0,0,0.0,2.5,1
12,77.0,84.0,0,0.0,2.5,1
13,84.0,91.0,0,0.0,2.5,1
14,91.0,98.0,0,0.0,2.5,1
15,98.0,105.0,0,0.0,2.5,1
16,105.0,112.0,0,0.0,2.5,1
17,112.0,119.0,0,0.0,2.5,1
18,119.0,126.0,0,0.0,2.5,1
19,126.0,133.0,0,0.0,2.5,1
20,133.0,140.0,0,0.0,2.5,1
21,140.0,147.0,0,0.0,2.5,1
1,0.0,7.0,618,618.0,2.5,2
2,7.0,14.0,379,379.0,2.5,2
3,14.0,21.0,0,0.0,2.5,2
4,21.0,28.0,0,0.0,2.5,2
5,28.0,35.0,0,0.0,2.5,2
6,35.0,42.0,0,0.0,2.5,2
7,42.0,49.0,0,0.0,2.5,2
8,49.0,56.0,0,0.0,2.5,2
9,56.0,63.0,0,0.0,2.5,2
10,63.0,70.0,0,0.0,2.5,2
11,70.0,77.0,0,0.0,2.5,2
12,77.0,84.0,0,0.0,2.5,2
13,84.0,91.0,0,0.0,2.5,2
14,91.0,98.0,0,0.0,2.5,2
15,98.0,105.0,0,0.0,2.5,2
16,105.0,112.0,0,0.0,2.5,2
17,112.0,119.0,0,0.0,2.5,2
18,119.0,126.0,0,0.0,2.5,2
19,126.0,133.0,0,0.0,2.5,2
20,133.0,140.0,0,0.0,2.5,2
21,140.0,147.0,0,0.0,2.5,2
1,0.0,7.0,862,862.0,2.5,3
2,7.0,14.0,134,134.0,2.5,3
3,14.0,21.0,1,1.0,2.5,3
4,21.0,28.0,0,0.0,2.5,3
5,28.0,35.0,0,0.0,2.5,3
6,35.0,42.0,0,0.0,2.5,3
7,42.0,49.0,0,0.0,2.5,3
8,49.0,56.0,0,0.0,2.5,3
9,56.0,63.0,0,0.0,2.5,3
10,63.0,70.0,0,0.0,2.5,3
11,70.0,77.0,0,0.0,2.5,3
12,77.0,84.0,0,0.0,2.5,3
13,84.0,91.0,0,0.0,2.5,3
14,91.0,98.0,0,0.0,2.5,3
15,98.0,105.0,0,0.0,2.5,3
16,105.0,112.0,0,0.0,2.5,3
17,112.0,119.0,0,0.0,2.5,3
18,119.0,126.0,0,0.0,2.5,3
19,126.0,133.0,0,0.0,2.5,3
20,133.0,140.0,0,0.0,2.5,3
21,140.0,147.0,0,0.0,2.5,3
1,0.0,7.0,576,576.0,2.5,4
2,7.0,14.0,419,419.0,2.5,4
3,14.0,21.0,2,2.0,2.5,4
4,21.0,28.0,0,0.0,2.5,4
5,28.0,35.0,0,0.0,2.5,4
6,35.0,42.0,0,0.0,2.5,4
7,42.0,49.0,0,0.0,2.5,4
8,49.0,56.0,0,0.0,2.5,4
9,56.0,63.0,0,0.0,2.5,4
10,63.0,70.0,0,0.0,2.5,4
11,70.0,77.0,0,0.0,2.5,4
12,77.0,84.0,0,0.0,2.5,4
13,84.0,91.0,0,0.0,2.5,4
14,91.0,98.0,0,0.0,2.5,4
15,98.0,105.0,0,0.0,2.5,4
16,105.0,112.0,0,0.0,2.5,4
17,112.0,119.0,0,0.0,2.5,4
18,119.0,126.0,0,0.0,2.5,4
19,126.0,133.0,0,0.0,2.5,4
